"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"818";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/XuKnfYr8IQ";FALSE;0;NA;2017-07-13 01:04:41;FALSE;NA;"885303938244849664";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"VLADY10";5;TRUE;FALSE;NA;NA;"Ecuador, Quito"
"819";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/IsdKX1mxDb";FALSE;0;NA;2017-07-13 01:03:56;FALSE;NA;"885303749354418176";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"VLADY10";17;TRUE;FALSE;NA;NA;"Ecuador, Quito"
"820";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/dudsBuXwxt";FALSE;0;NA;2017-07-13 00:56:53;FALSE;NA;"885301973284728832";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"pinkijorge";4;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"821";"RT @dulceanahi_1490: @Radiaciont@CanelaRadioEc @LoroHomero @lrivadeneiras @PATODIAZGUEVARA @PasanteCanela  por favor ayúdenos compartiendo…";FALSE;0;NA;2017-07-13 00:38:01;FALSE;NA;"885297226485989377";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Jota_met";31;TRUE;FALSE;NA;NA;""
"822";"RT @dulceanahi_1490: @Radiaciont@CanelaRadioEc @LoroHomero @lrivadeneiras @PATODIAZGUEVARA @PasanteCanela  por favor ayúdenos compartiendo…";FALSE;0;NA;2017-07-13 00:30:42;FALSE;NA;"885295387036266497";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"oscarchimbo710";31;TRUE;FALSE;NA;NA;""
"823";"RT @dulceanahi_1490: @Radiaciont@CanelaRadioEc @LoroHomero @lrivadeneiras @PATODIAZGUEVARA @PasanteCanela  por favor ayúdenos compartiendo…";FALSE;0;NA;2017-07-13 00:29:41;FALSE;NA;"885295130852413440";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"geovanysimba1";31;TRUE;FALSE;NA;NA;""
"824";"@vagosconsuerte @CanelaRadioEc @ExxonDj @rpadpre @jalaldubois <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>";FALSE;0;"vagosconsuerte";2017-07-13 00:21:59;FALSE;"885213080074014720";"885293193138491392";"748561132894433280";"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"AleMetal72";0;FALSE;FALSE;NA;NA;"Quito - Ecuador"
"825";"@CanelaRadioEc pueden poner #DevuelvemeElCorazón de @SebastianYatra porfavor @SebastianYatraE @GomiTwiin @andradedirak cc @UniversalMusicE";FALSE;0;"CanelaRadioEc";2017-07-13 00:19:47;FALSE;NA;"885292638009798656";"2411790656";"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"sari_arist";0;FALSE;FALSE;NA;NA;""
"826";"RT @dulceanahi_1490: @Radiaciont@CanelaRadioEc @LoroHomero @lrivadeneiras @PATODIAZGUEVARA @PasanteCanela  por favor ayúdenos compartiendo…";FALSE;0;NA;2017-07-13 00:08:07;FALSE;NA;"885289699966844928";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"carlosjav6";31;TRUE;FALSE;NA;NA;"QUITO-ECUADOR"
"827";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/dudsBuXwxt";FALSE;0;NA;2017-07-13 00:03:35;FALSE;NA;"885288562916306946";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"shadow47mao";4;TRUE;FALSE;NA;NA;""
