"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@labrujaecuador Por favor podrían complacernos con #VueloAParis de @JohannVera <U+2708><U+FE0F>  Gracias Brujildos Uds son estelares !",FALSE,0,"labrujaecuador",2017-07-28 01:54:52,FALSE,NA,"890752385206947840","82985256","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","superjosefa",0,FALSE,FALSE,NA,NA
"RT @dayanataly94: Buenos días @labrujaecuador me complacen con #NiReggaetónNiRock de @GenaroMeCachas gracias @KiaveNove @GenaroFanClubEc <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>…",FALSE,0,NA,2017-07-28 01:46:32,FALSE,NA,"890750286347853825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anagabrielanue5",2,TRUE,FALSE,NA,NA
"Quincy Jones obtiene 9,4 mdd en su litigio contra Michael Jackson",FALSE,1,NA,2017-07-28 01:00:00,FALSE,NA,"890738578216452096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Ed Sheeran está nominado al Premio Mercury #MercuryPrize",FALSE,1,NA,2017-07-28 00:00:01,FALSE,NA,"890723483214151684",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Kid Rock se postulará al Senado de su país",FALSE,0,NA,2017-07-27 23:30:00,FALSE,NA,"890715928350134272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Katy Perry estará al frente de la ceremonia de los #MTVVMAs 2017",FALSE,1,NA,2017-07-27 23:00:02,FALSE,NA,"890708386941194240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Hijo de Christina Aguilera podría seguir sus pasos https://t.co/f49fM7gJ1t",FALSE,0,NA,2017-07-27 22:30:00,FALSE,NA,"890700829505671169",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @Paulycma: Suena #APUNTOCARAMELO d @SoyDanielBeta feat @Alkilados en @labrujaecuador @dbfansuio @BorkisEC @AlfredoViteri y con esto list…",FALSE,0,NA,2017-07-27 22:17:25,FALSE,NA,"890697661346721793",NA,"<a href=""https://twitter.com/RiobambaBot"" rel=""nofollow"">Riobambabot_RT</a>","RiobambaBot",2,TRUE,FALSE,NA,NA
"Suena #APUNTOCARAMELO d @SoyDanielBeta feat @Alkilados en @labrujaecuador @dbfansuio @BorkisEC @AlfredoViteri y con esto lista para Riobamba",FALSE,2,NA,2017-07-27 22:14:23,FALSE,NA,"890696896519561216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Paulycma",2,FALSE,FALSE,NA,NA
"@Usher cantó y posó con @JKCorden en el “Carpool Karaoke”",FALSE,0,"Usher",2017-07-27 22:00:01,FALSE,NA,"890693280614232064","40908929","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"@labrujaecuador  hola nos ayudas con #NireggaetonNiRock de @GenaroMeCachas gracias @KiaveNove",FALSE,1,"labrujaecuador",2017-07-27 21:48:01,FALSE,NA,"890690262590263296","82985256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GenaroFanClubEc",1,FALSE,FALSE,NA,NA
"@labrujaecuador  hola nos ayudan con #Cometelavida de @AndresSacotoA es lo mejor gracias @AndySacotoFans @KiaveNove",FALSE,1,"labrujaecuador",2017-07-27 21:41:46,FALSE,NA,"890688689986260993","82985256","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreaAmjb",0,FALSE,FALSE,NA,NA
"@SelenaGomez seduce a sus fanáticos con el clip completo de “Fetish”",FALSE,0,"selenagomez",2017-07-27 21:30:01,FALSE,NA,"890685733454970880","23375688","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
