"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TienesQueSerFeliz https://t.co/OD0lbC3TQh",FALSE,4,NA,2017-07-30 14:11:57,FALSE,NA,"891662651318829058",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"RT @caamin20: @CanelaRadioEc Están todos invitados a la charla #gratis sobre cómo evitar los extravíos de las personas con  #alzheimer #ext…",FALSE,0,NA,2017-07-30 11:26:40,FALSE,NA,"891621059279114240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kiley17984255",2,TRUE,FALSE,NA,NA
"Toda la vida  https://t.co/DpQspCpde1",FALSE,0,NA,2017-07-30 10:52:35,FALSE,NA,"891612480111300608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aalsandra22",0,FALSE,FALSE,NA,NA
"Si q si  https://t.co/Xj1VHec4c8",FALSE,0,NA,2017-07-30 10:50:24,FALSE,NA,"891611930946830336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aalsandra22",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc Eso toca los lyne cuando toca trabajar",FALSE,0,"CanelaRadioEc",2017-07-30 00:01:34,FALSE,"884080156880588800","891448646876704769","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MatildePibaque",0,FALSE,FALSE,NA,NA
"@wolfy5_1 @nikki_andrade @LosJosemas @CanelaRadioEc Y desayunan HUEVOS CON JUGO DE CARNE ENSIMA ajajajajajaja Que ascooo <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,0,"wolfy5_1",2017-07-29 18:04:23,FALSE,"891028283189600257","891358760236724224","257104118","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nolivos_daniel",0,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/tFBkdy9M1l",FALSE,0,NA,2017-07-29 18:01:19,FALSE,NA,"891357986408599553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",12,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/0hSOx8tAiz",FALSE,0,NA,2017-07-29 18:01:15,FALSE,NA,"891357972567339009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",1,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/tIW986qf0p",FALSE,0,NA,2017-07-29 17:54:31,FALSE,NA,"891356276323692544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imbaqingo",5,TRUE,FALSE,NA,NA
"@CanelaRadioEc me encantaría ir a #salsaviva apoyen al caído por favor....Gracias muchas gracias",FALSE,0,"CanelaRadioEc",2017-07-29 17:22:19,FALSE,NA,"891348171707830272","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barcemaurinho",0,FALSE,FALSE,NA,NA
