;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;
44;RT @tamyocampot: @JoyaStereo @EdwinCardenas Un ángel para que nos cuide este rincón de semana @EdwinCardenas #JoyaStereo https://t.co/ylOZ1…;FALSE;0;NA;08/07/2017 14:07;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;2;TRUE;FALSE;NA;NA;
45;@JoyaStereo @de_VasquezP Buenos Dias x favor me puedes complacer con lo digo de @_CarlosRivera gracias buena mañana saludos @RiveristasEc;FALSE;2;JoyaStereo;08/07/2017 14:05;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;0;FALSE;FALSE;NA;NA;
46;RT @JoyaStereo: Feliz sábado para tod@s <ed><U+00A0><U+00BC><ed><U+00BC><U+009E> .! contigo @de_vasquezp en #AltaTension de @JoyaStereo , que tengan un hermoso día lleno de músic…;FALSE;0;NA;08/07/2017 14:04;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;1;TRUE;FALSE;NA;NA;
47;Feliz sábado para tod@s <ed><U+00A0><U+00BC><ed><U+00BC><U+009E> .! contigo @de_vasquezp en #AltaTension de @JoyaStereo , que tengan un hermoso día lleno de música y sonrisas <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7><ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>;FALSE;8;NA;08/07/2017 12:27;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";JoyaStereo;1;FALSE;FALSE;NA;NA;
48;"RT @Estefy9222: @JoyaStereo @EdwinCardenas K bien!! EDWINSITO.. Me encantó escuchar #MasBuena de @Al3jandraGuzman &amp; @GloriaTrevi en @JoyaSt…";FALSE;0;NA;08/07/2017 10:49;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";imalexnovoa;20;TRUE;FALSE;NA;NA;
49;RT @AusllySpain: @JoyaStereo @casocar @Ricardo_Arjona Nuestro voto por #UnaVidaNueva de la preciosa @MireiaMontavez en #LoMejorDeLoMejor;FALSE;0;NA;08/07/2017 9:16;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""";ArtistaSuspiria;2;TRUE;FALSE;NA;NA;
50;RT @adriana210189: @JoyaStereo @EdwinCardenas hola Edwin porfa inscribeme para el S7 de Cepeda y Fonseca. Quito mi #0958970*** gracias;FALSE;0;NA;08/07/2017 7:37;FALSE;NA;8,84E+17;NA;"<a href=\http://wuxi.cuxibamba.com\"" rel=\""nofollow\"">wuxi-speaker</a>""";SFQuito;1;TRUE;FALSE;NA;NA;
51;RT @AusllySpain: @JoyaStereo @casocar @Ricardo_Arjona Nuestro voto por #UnaVidaNueva de la preciosa @MireiaMontavez en #LoMejorDeLoMejor;FALSE;0;NA;08/07/2017 6:56;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";MireiaMontavez;2;TRUE;FALSE;NA;NA;
52;RT @tamyocampot: @JoyaStereo @EdwinCardenas Un ángel para que nos cuide este rincón de semana @EdwinCardenas #JoyaStereo https://t.co/ylOZ1…;FALSE;0;NA;08/07/2017 6:26;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;2;TRUE;FALSE;NA;NA;
53;RT @tamyocampot: @JoyaStereo @EdwinCardenas Un angelito para que nos cuide el fin de semana https://t.co/Lu7XbZxN73;FALSE;0;NA;08/07/2017 6:26;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;2;TRUE;FALSE;NA;NA;
